VehOdo,MMRAcquisitionAuctionAveragePrice,Make,WarrantyCost,IsBadBuy
51099,8566,DODGE,920,0
48542,8566,DODGE,834,0
46318,8835,CHRYSLER,834,0
50413,7165,CHEVROLET,671,0
50199,8566,DODGE,920,0
480444,8835,CHRYSLER,834,0
48433,8835,CHRYSLER,834,0
51062,8967,PONTIAC,671,0
59825,9793,PONTIAC,1500,0
49558,8835,CHRYSLER,834,0
50569,8566,DODGE,920,0
50538,9325,MITSUBISHI,505,0
51140,8566,DODGE,920,0
53722,8566,DODGE,920,0
51962,8566,DODGE,920,0
57109,9793,PONTIAC,1500,0
54304,8566,DODGE,920,0
50657,8566,DODGE,920,0
61190,10449,CHEVROLET,1703,0
51101,9223,PONTIAC,837,0
58485,10555,MAZDA,1003,0
53323,10294,CHEVROLET,1500,1
36459,8662,DODGE,762,1
43202,7363,CHRYSLER,975,0
44911,8662,DODGE,834,0
46568,8662,DODGE,834,0
44628,9941,CHEVROLET,1328,0
44173,5316,SUZUKI,482,0
40844,9941,CHEVROLET,1328,0
49632,8205,DODGE,834,0
40459,7220,CHRYSLER,975,0
38177,9941,CHEVROLET,1181,0
38169,9941,CHEVROLET,1181,0
44986,9941,CHEVROLET,1328,0
44785,9941,CHEVROLET,1328,0
577,6362,CHEVROLET,1155,0
55101,10221,MAZDA,1003,0
53492,10848,PONTIAC,1003,0
51639,10221,MAZDA,1003,0
47937,7150,CHRYSLER,975,0
54594,8161,DODGE,920,0
54941,10221,MAZDA,1003,0
47593,9487,DODGE,834,0
50277,10221,MAZDA,1003,0
60723,7788,KIA,533,0
47338,7150,CHRYSLER,975,1
48194,9901,PONTIAC,905,0
61846,11289,DODGE,1215,0
49865,10221,MAZDA,905,0
55695,8161,DODGE,920,0
47885,8161,DODGE,834,0
49399,9901,PONTIAC,905,0
47679,8161,DODGE,834,0
49155,6817,CHEVROLET,623,1
51381,8601,CHRYSLER,920,0
59412,11160,CHRYSLER,1086,0
53137,10221,MAZDA,1003,0
49066,7150,CHRYSLER,975,0
58441,8161,DODGE,920,0
45718,7150,CHRYSLER,975,0
56972,11289,DODGE,1086,0
45827,7150,CHRYSLER,975,0
58033,7537,DODGE,754,0
49340,7150,CHRYSLER,975,0
49747,9375,KIA,623,0
51823,11289,DODGE,1086,0
47635,8161,DODGE,834,0
48261,7150,CHRYSLER,975,0
46200,9487,DODGE,834,0
48584,8161,DODGE,834,0
51637,7537,DODGE,754,0
53433,10221,MAZDA,1003,0
42912,5751,CHRYSLER,975,0
49632,9375,KIA,623,1
50262,8161,DODGE,920,0
46710,6246,CHEVROLET,623,0
46830,8046,DODGE,834,0
45882,8046,DODGE,834,0
44933,7032,CHRYSLER,975,0
46809,7032,CHRYSLER,975,0
46864,9610,CHEVROLET,1328,0
45958,8046,DODGE,834,0
45564,7032,CHRYSLER,975,0
45562,9380,DODGE,834,0
42535,9610,CHEVROLET,1328,0
45496,8046,DODGE,834,0
46380,7032,CHRYSLER,975,0
45670,9610,CHEVROLET,1328,0
43584,9705,CHEVROLET,1328,0
50835,6869,CHEVROLET,837,0
60346,9289,KIA,728,1
49207,6616,CHRYSLER,975,0
50257,6369,CHEVROLET,671,0
48003,7974,DODGE,834,0
52843,8275,CHRYSLER,920,0
58914,9376,SATURN,1003,0
56710,9735,MAZDA,1003,0
50341,9380,PONTIAC,1003,0
49677,8823,TOYOTA,482,0
58715,9046,PONTIAC,1500,0
58462,8840,DODGE,754,0
58400,9380,PONTIAC,1003,0
57215,9735,MAZDA,1003,0
49011,8152,CHEVROLET,623,0
51894,7742,DODGE,754,0
58740,9735,MAZDA,1003,0
51099,8288,PONTIAC,671,0
48563,7967,DODGE,834,0
46675,6560,CHEVROLET,623,0
44908,7394,CHEVROLET,623,0
44083,6560,CHEVROLET,623,0
46318,8484,DODGE,834,0
41689,6737,CHRYSLER,975,0
43644,7892,DODGE,834,0
44036,7892,DODGE,834,0
43540,6737,CHRYSLER,975,0
46321,8556,CHEVROLET,623,0
42694,6737,CHRYSLER,975,0
44084,7955,CHRYSLER,834,0
47811,7760,DODGE,834,0
49454,7760,DODGE,834,0
49884,7955,CHRYSLER,834,0
44824,6488,CHRYSLER,975,0
67508,8444,CHEVROLET,1020,0
55089,5925,CHEVROLET,671,0
51380,6854,DODGE,754,0
56501,8823,PONTIAC,1500,0
49602,6854,DODGE,693,0
84068,6875,CHEVROLET,2282,0
46364,6539,CHRYSLER,975,0
46506,6539,CHRYSLER,975,0
59226,8429,MITSUBISHI,505,0
50158,9119,SATURN,1003,0
77624,3819,FORD,920,0
59523,9538,MAZDA,1003,0
46055,6539,CHRYSLER,975,0
52044,7341,CHEVROLET,671,0
60861,6854,DODGE,825,0
38119,7900,CHRYSLER,762,0
43184,7900,CHRYSLER,834,0
39961,7900,CHRYSLER,762,0
54146,7900,CHRYSLER,920,0
36119,7900,CHRYSLER,762,1
43575,7900,CHRYSLER,834,0
46459,7900,CHRYSLER,834,0
74720,6645,BUICK,3667,0
76500,11970,JEEP,1740,0
45128,7805,KIA,623,0
42411,7805,KIA,623,0
44055,7827,CHRYSLER,834,0
41000,5857,CHEVROLET,623,0
43959,4688,CHEVROLET,623,0
41784,6852,CHEVROLET,623,0
50174,7827,CHRYSLER,920,0
41845,6400,CHRYSLER,975,0
35084,6400,CHRYSLER,882,0
44245,7841,DODGE,834,0
41126,6373,CHRYSLER,975,0
44534,7818,KIA,623,0
74188,10843,DODGE,1623,0
50664,7841,DODGE,920,1
45020,7841,DODGE,834,0
80800,10843,DODGE,1763,0
45523,7545,DODGE,834,0
47655,7841,DODGE,834,0
47165,7841,DODGE,834,0
36786,6844,KIA,462,0
42209,6844,KIA,482,0
42450,6373,CHRYSLER,975,0
44303,7818,KIA,623,0
41004,6373,CHRYSLER,975,0
40170,6373,CHRYSLER,975,0
52488,8821,PONTIAC,1003,0
46513,6373,CHRYSLER,975,0
49947,8821,PONTIAC,905,0
49335,6950,DODGE,693,0
44344,9228,DODGE,834,0
42279,6373,CHRYSLER,975,0
43830,6373,CHRYSLER,975,0
51849,7782,DODGE,920,0
49909,7782,DODGE,834,0
58173,7898,SUZUKI,505,0
49762,6347,CHRYSLER,975,0
58092,7436,NISSAN,505,0
65677,7755,CHRYSLER,1020,0
49370,7024,CHEVROLET,623,0
58866,9014,MAZDA,837,0
49208,5817,CHEVROLET,623,0
64100,8813,PONTIAC,1118,0
36651,6350,CHRYSLER,882,0
49789,7684,CHRYSLER,834,0
